Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CS,478,Development of Mobile Apps,30,17,16,4,2,0,0,0,0,1,Buy
CS,480,Database Systems,15,22,1,0,0,0,0,0,0,0,Sistla
CS,480,Database Systems,22,30,20,1,0,0,0,0,0,4,Wolfson
CS,487,Secure Computer Systems,20,4,3,3,5,0,0,0,0,2,Checkoway
CS,491,Virtual and Augmented Reality,21,10,5,4,0,0,0,0,0,0,Johnson
CS,491,Secure Web Application Design,6,8,11,7,1,3,0,0,0,2,Kanich
CS,491,Seminar,0,45,0,0,0,0,0,0,0,0,Kenyon
CS,491,Creative Coding,5,4,1,0,0,0,0,0,0,0,Tsoupikova
CS,499,Prof. Development Seminar,0,0,0,0,0,5,0,67,0,0,Hummel
CS,514,App Artificial Intelligence,28,3,0,0,0,0,0,0,0,0,Gmytrasiewicz
CS,521,Stat Natural Lang Processing,11,12,1,0,0,0,0,0,0,0,Di Eugenio
CS,522,Human-Computer Interaction,17,13,3,0,2,0,0,0,0,0,Chattopadhyay
CS,527,Computer Animation,10,0,0,0,1,0,0,0,0,0,Marai
CS,553,Distributed Systems,15,13,1,0,0,0,0,0,0,0,Kshemkalyani
CS,559,Neural Networks,15,10,0,0,0,0,0,0,0,0,Koyuncu
CS,583,Data Mining & Text Mining,22,17,1,0,0,0,0,0,0,0,Liu
CS,584,Advanced Data Mining,21,2,0,0,0,0,0,0,0,0,Yu
CS,587,Computer Systems Security,25,5,5,0,1,0,0,0,0,0,Solworth
CS,594,Data Science for Networks,12,2,0,0,0,0,0,0,0,1,Zheleva
CS,598,MS Thesis Research,0,0,0,0,0,0,17,0,0,0,Kenyon
CS,599,PhD Thesis Research,0,0,0,0,0,0,0,13,0,0,Yu
ECE,115,Intro to Elec & Cmptr Eng,115,33,14,6,11,0,0,0,0,11,Caliskan
ECE,210,Electric Circuit Analysis,83,37,17,3,10,0,0,0,0,2,Caliskan
ECE,225,Circuit Analysis,40,33,18,4,1,0,0,0,0,1,Fitzgerald
ECE,265,Intro to Logic Design,41,28,17,2,1,0,0,0,0,4,Fitzgerald
ECE,266,Intro to Embedded Systems,35,40,10,4,0,0,0,0,0,0,Zhang
ECE,310,Discrete &Cont Signal&Systms,24,39,14,2,1,0,0,0,0,2,Cetin
ECE,311,Communication Engineering,21,21,5,0,1,0,0,0,0,0,Jin
ECE,317,DSP I,13,11,2,1,1,0,0,0,0,2,Cetin
ECE,322,Intro to Electromag and Appl,6,6,4,1,0,0,0,0,0,1,Erricolo
ECE,333,Computer Comm Networks I,16,10,3,1,0,0,0,0,0,0,Abu Salah
ECE,340,Electronics I,32,23,17,3,0,0,0,0,0,0,Metlushko
ECE,341,Probabil &Rand Proc for Engr,26,39,10,3,0,0,0,0,0,1,Jin
ECE,342,Electronics II,9,9,12,0,0,0,0,0,0,1,Metlushko
ECE,346,Solid State Device Theory,41,29,2,0,0,0,0,0,0,0,Stroscio
ECE,347,Integrated Circuit Engr,5,2,5,0,0,0,0,0,0,0,Feinerman
ECE,350,Principles of Auto Control,8,15,4,0,0,0,0,0,0,1,Jin
ECE,366,Computer Organization,9,17,3,1,0,1,0,0,0,3,Rao
ECE,396,Senior Design I,14,0,0,0,0,0,0,0,0,0,Abu Salah
ECE,396,Senior Design I,68,5,1,0,0,3,0,0,0,1,Revelo Alonso
ECE,397,Senior Design II,11,0,0,0,0,0,0,0,0,0,Metlushko
ECE,397,Senior Design II,16,0,0,0,0,0,0,0,0,0,Revelo Alonso
ECE,410,Network Analysis,23,36,11,0,0,0,0,0,0,1,Vaccaro
ECE,415,Imag Analysis & Compt Visn I,33,40,3,0,0,0,0,0,0,3,Radakovic
ECE,417,Digital Signal Processing II,17,20,8,0,0,0,0,0,0,0,Ansari
ECE,421,Intro to Antenna Propagation,7,6,3,0,0,0,0,0,0,3,Laxpati
ECE,424,RF Guided Propagation,5,5,5,0,0,0,0,0,0,1,Laxpati
ECE,432,Digital Communications,24,9,3,0,0,0,0,0,0,3,Smida
ECE,434,Multimedia Systems,14,17,10,0,2,0,0,0,0,4,Schonfeld
ECE,440,Nanoelectronics,14,5,3,2,0,0,0,0,0,0,Yang
ECE,445,Analysis&Desgn/Power Elec Circ,7,2,2,1,1,0,0,0,0,0,Mazumder
ECE,451,Control Engineering,13,7,5,4,1,1,0,0,0,3,Han
ECE,452,Robotics: Algorithm/Control,24,19,7,0,1,0,0,0,0,0,Zefran
ECE,458,Electromech Energy Conversn,2,12,14,3,0,0,0,0,0,1,Revelo Alonso
ECE,465,Digital Systems Design,8,6,8,4,0,0,0,0,0,6,Dutt
ECE,466,Adv Computer Architecture,35,18,6,1,0,0,0,0,0,0,Zhu
ECE,467,Introduc to VLSI Design,28,26,10,1,2,0,0,0,0,2,Trivedi
ECE,491,Intro to Electromag & Appl,14,8,1,1,0,0,0,0,0,2,Erricolo
ECE,491,Basics Wireless Standards,14,11,5,4,0,0,0,0,0,0,Valbonesi
ECE,496,Undergrad Sen Design Thesis I,51,0,0,0,0,0,0,0,0,0,Goncharoff
ECE,499,Prof. Development Seminar,0,0,0,0,0,0,0,62,0,1,Devroye
ECE,516,Adaptive Digital Filters,5,7,0,0,0,0,0,0,0,0,Soltanalian
ECE,517,Digital Image Processing,8,6,0,0,0,0,0,0,0,0,Schonfeld
ECE,533,Advanced Computer Comm,34,10,1,0,0,0,0,0,0,1,Abu Salah
ECE,534,Elements of Info Theory,8,4,5,0,0,0,0,0,0,0,Devroye
ECE,540,Physics Semicond Devices,5,5,6,1,0,0,0,0,0,0,Shi
ECE,551,Optimal Control,19,9,0,0,0,0,0,0,0,0,Vaccaro
ECE,559,Neural Networks,29,24,0,0,0,0,0,0,0,0,Koyuncu
ECE,566,Parallel Processing,14,5,0,0,0,0,0,0,0,2,Kshemkalyani
ECE,572,Nanoscale Semiconduc Stru,42,13,0,0,0,0,0,0,0,1,Stroscio
ECE,595,Departmental Seminar,0,0,0,0,0,0,0,79,1,0,Rao
ENER,424,Energy Mgmt & Conservation,16,1,0,0,0,0,0,0,0,0,Ryan
ENER,501,Engineering Project Coord,16,0,0,0,0,0,0,0,0,0,Wolfman
ENER,553,Sustainable Energy,15,3,0,0,0,0,0,0,0,0,Ryan
ENER,554,Nuclear Power Generation,6,5,0,0,0,0,0,0,0,0,Grelle
ENGR,100,Engineering Orientation,0,0,0,0,0,20,0,906,0,11,Kuypers
ENGR,111,Pract Additive Manufacturing,0,0,0,0,0,0,0,69,1,0,Pan
ENGR,194,Cybersecurity Foundations,10,13,3,0,0,0,0,0,0,4,Polakis
